TID,items
1,high think lot day going market strong view session instant slump volatility trading selling recover market stock hit
2,dow finish term claw day market 100 share ftse market ground pension closed stock
3,looked dow tuesday market wild day traveled session here volatility point number 1000 yesterday way monday
4,good correction rate economy street selling inflation yardeni market wage stock
5,think really ceo friend indictment big user spiegel latest snap evan streak spiegel app snapchat there facebook problem
6,android market user rest developing snap world win spiegel snapchat million neglect revenue
7,company expectation growth user redesign issue show ipo snap snapchat million quarter progress
8,earnings fourth daily beat strong quarterly growth user snap share spiegel ad snapchat million quarter facebook user soar
9,espns online bet service iger disney espn igers bob viewing app future tv streaming 5amonth including
10,earnings tax revenue top view walt street q1 disney billion entertainment quarter wall streaming profit share
11,subscriber improvement iger digital espn multichannel see q1 programming disney include plus loss modest fiscal
12,theme trip park orlando best youre attraction water walt world disney price ticket alternative there ride tour
13,paper angeles paper company tronc time los owner sell san longtroubled soonshiong relationship tribune ending
14,angeles paper paper mr editor tronc time los billionaire sale nearing employee doctor dr york soonshiong
15,reported angeles owns tronc time los negotiated sale billionaire newspaper soonshiong newspaper tribune
16,editor close la time month patrick editor week diego unhappy month unpaid buy soonshiong san uniontribune worker deal voted
17,abuzz sold angeles la time los tronc sale diego conversation uniontribune san tribune potential
18,chair investor dow sec day vix volatility volatile future index market bitcoin stock
19,legislation regulator sec virtual clayton congress trading regulatory ask market investor agency currency bitcoin
20,pressed digital regulator sec issue trading coordinated push commission icos security approach offering bitcoin
21,wide looking regulator dlt underpins set technology seen task market cryptocurrency steam service
22,note structured investment vix bomb linked volatility product thing inside street billion market wall
23,investment investor market risky vix volatility plunge worse trading littleknown fund market stock fund
24,market simple investor value collapse etf etf math vix volatility fund future velocityshares inverse
25,workshop 2016 trump suit approves university 25 million court settlement york federal
26,president trump simpson trial university reject challenge court settlement appeal lawyer simpson
27,trump suit upholds classaction university 25 million court settlement appeal schneiderman student
28,class student fraud president ninth sue trump education victim loses university chance wanted settlement
29,safety keep customer company food chipotle chain strong restaurant plan losing issue struggled trust work there tuesdayells customer regain
30,long nacho item hinted chipotle chain kitchen test queso here dish secret menu york verdict add texmex
31,margin earnings beat chipotle restaurant forecast revenue restaurant increased starting million ell sale
32,higher digital chipotle cheap pe latest quarter market location chipotle sale
33,seller broke leaf near scout dispensary senn scout selling legal fundraising girl local doyle marijuana rule cookie decide support
34,sold cooky sell wagon walking scout dispensary scout bushan selling 9yearold girl marijuana san outside california
35,urbn cooky let square told scout scout sell legal store diego girl weed san outside rule
36,shop sold cooky box scout scout doyle diego selling girl marijuana pot san outside
37,2008 president china tariff trump nation highest policy deficit trade billion hit level
38,robust record trump high growth highest nineyear deficit trade billion import increased good rise
39,2008 export record wider trump deficit trade month billion import gap good 2017
40,trump record high 566 oil 9year trump deficit trade billion soar rose 2017 imported
41,reduce going trump disaster policy trump deficit trade united import state worsens
42,know eat ladyfriendly hear bag crunch im dont woman apparently bag woman lady chip doritos developing
43,isnt equal happenin male dont flavor woman pepsico chip doritos love version finger
44,internet brand eat snack chip dont nooyi reveals fiasco woman lady pepsico speed doritos love operates finger
45,rival waymouber company mr trial levandowski ubers technology engineer uber wanted sesh jam kalanick board recall
46,officer website hire diversity chief young report uber finally hired wrote holder
47,bos take taken selfdriving trial technology levandowski waymo uber firm mr kalanick stand driverless
48,speech waymouber writes sent wink street trial text levandowski effort testifies waymo engineer hire kalanick need wall
49,case fire race car selfdriving stay ubers levandowski secret document waymo uber engineer trade
50,best cd fading cd fast retailer store billion buy million button hit eject music sale
