TID,items
1,individuals data incident numbers drivers information security
2,putin russian syria assad war opposition president russia trump kremlin united according commitment form future government host leaders media meeting
3,turkey national trump bykofsky columnist drumstick president stu turkeys
4,haiti haitian tps citizens community meetings secretary states termination united
5,johnson sgt abc attack niger body remains david husband interest investigation johnsons nigerien oct official staff
6,relevant sexual franken incident single whether women
7,grace alias maybe graceb mary solution
8,franken sexual assault day felt itb republican women
9,
10,dressers ikea recalled death injuries recall reports wall 2016 child children free reminder sold
11,nassar usa charges sexual guilty gymnastics years abuse abused aly larry plea raisman
12,jibo iphone laptop samsung switch jedi lightsaber nintendo robot surface tech baig challenges galaxy game headset home microsoft price screen
13,deals black galaxy iphone verizon phones phone samsung sprint att plus google nov tmobile cellular cricket free note plan atts
14,ads cigarette tobacco cigarettes 20th century ecigarettes health smoking new presser quit smokers addiction helping fueling smoke cancer corrective truth
15,hour bolt million threads company spider
16,health
17,braves signing players international player bonus club bonuses mlb period sign 2016 baseball rules draft free maitan prospect signed violations
18,home kids google devices need use music make play youll alexa app apps device echo privacy set assistant even including
19,campaign trump russians associates contacts meetings russia russian cnn court filings interactions least others public reporting according adviser affiliated denials
20,rose roseb
21,rose charlie women allegations alleged behavior fired important misconduct pbs post roses sexual statement workplace
22,rose charlie young another brothers cousins end hands now put woman women
23,teigen chrissy legend 2017 john post shared chrissyteigen pdt related
24,teigen legend chrissy luna
25,order court ban travel executive agents orders roth
26,county budget commissioners cook 2018 commissioner jobs workers
27,insurance health million fewer bill cbo cotton exchanges jct many market penalty percent tax
28,conyers committee democrats house ethics harassment former office paid settlements step allegations caucus compliance congressional discrimination lawmaker member probe settlement
29,order inspector letter airports court department general officials passengers states united
30,file harvard students admissions civil department fair please records rights
31,became citizen department guilty pleaded child justice native district 2000 citizenship mexico naturalization naturalized sexually
32,jones moore evangelicals alabama evangelical michael religious white
33,
34,approved budget taxes emanuel fees million tax 2018 year aldermen mayor prior property tuesday water
35,asteroid eso interstellar system observations oumuamua solar astronomy hawaii karen meech object astronomers email first information institute panstarrs usa years
36,mike cleveland last years trey lot love new radio espn golic started still thing end season son sports browns different
37,braves international signing manfred players team announced coppolella penalties prospects statement
38,mccray mike state captain michigan ohio dawson george school season son week wolverines
39,tax private bill aircraft cut jet management senate aviation gop mostly owners percent provision reform true
40,fcc internet net neutrality providers rules paib websites companies fccb plan block example policy verizon
41,net neutrality internet fcc completely continued isps part principle service
42,service military ban transgender department members next abc court courts individuals injunction justice legal serving trumps
43,judge members transgender service garbis military trump administration ban department federal found lawyers maryland order president sexreassignment
44,water mars rsl liquid study slopes streaks flows still surface atmosphere hydrated likely longer made may researchers sand scientists university
45,chests dressers ikea malm chest died cpsc tipped anchored boy child children pinned recalled unanchored veneer wall 3drawer consumers date
46,argentine navy missing search submarine sub according crew day juan oxygen san vessel aboard base determined may
47,twins born conjoined according hospital
48,childrenb girls delaney home hospital
49,policy sexual women legal men womenb
50,douglas olympic nassar raisman support tweet abuse abused gabby many never stay teammate victim
51,haitians administration trump charlie department haitian months 59000 killed leave new officials status tps agent att beat block border broadcaster
52,msnbc trump trumpb
53,google data tower android cell googleb phones
54,google android data location cell tower addresses quartz celltower devices phones practice information send sent services contacted even nearby spokesperson
55,haiti haitians status temporary jeune little decision earthquake immigration may months president program protected tuesday came children days ended florida
56,milk raw percent ads study new salads smoking cdc months recalled tobacco twins udder climate cnn company concussion conjoined health
57,black galaxy verizon deals iphone plus sprint two youll free heres new offering plan sign att buy details find head
58,trump please
59,navy sub submarine san juan argentine del rescue crew surface base depth layton vessel ara argentina argentinas around disabled ocean
60,trump states administration immigration number trumpb united officials president country foreigners immigrants program reduce refugees wall
61,whitman ceo hpe company meg
62,trump drumstick barron turkey ivanka president seemed
63,
64,ikea recall tipover chests malm chest children died drawers dressers dudek image campaign canada copyright including killed products since wall
65,object interstellar space astronomers solar system telescope eso using first statement study team
66,johnson killed sgt staff body forces niger remains army country gen group husbands johnsons nigerien patrol troops white
67,trump tax white paper families children cuts programs states trumpb united administration fact gop poll prekindergarten 2016 cea ivanka obama
68,iphone pixel week iphones years android definitely flanagan graham look phone switching try
69,franken curtin women 1975 inappropriate respect snl week
70,aniston
71,lasseter pixar disney
72,pixar lasseter animation disney known sources employee lasseters next source toy alleged community company creative films former hand insiders john
73,harvard justice department admissions university students year investigating lawsuit race factors harvardb letter policies
74,harvard department justice admissions probe investigation letter action civil court npr policies rights access affirmative division documents federal harvards information
75,justice harvard department departments school cnn policies federal
76,whitman ceo hpe company uber
77,percent shares nyse earnings inc company dsw nasdaq rose sales traded trading tuesday cubic ltd market million october per results sector weeks
78,mike greenberg air espn morning years end come days golic left new things conversation ever first good guys ive kind
79,submarine search argentine aircraft ara communications detected juan missing navy san satellite
80,braves atlanta penalties players international investigation mlb signing baseball draft organization pick rules
81,niger soldiers killed david four johnson sgt oct pentagon troops combat died funeral johnsonb remains soldier ambush army forces french
82,companies net neutrality fcc rules charter consumers higher internet new please
83,cell google codes data location android network services delivery message quartz code phones provide users company firebase googles gps improve
84,tax deduction state higgins new income lose taxes york percent 9000 100000 house local property filers year deduct make meant
85,teigen
86,
87,michigan ohio state game two buckeyes last playoff plenty wolverines big past play season team week
88,twins abby erin surgery heather conjoined craniopagus hospital riley attached surgeons brain left right separation babies months percent area born
89,rose women pbs announced post
90,conyers harassment sexual ethics pelosi rep settlement alleged buzzfeed called capitol hill investigation
91,shelton blake man media sheltons social tweets anyone knows p reads sexiest tweet use
92,season week record ranking 2017 games tossup train triumph wreck points win game team three four still five last loss
93,lasseter employees pixar company former lasseterb leave women another employee told animation behavior described disney female hugs
94,sugar industry kearns glantz research daily found group paper researchers two
95,mayak levels radiation russian 106 russia ruthenium tuesday accident higher officials plant please polonium radioactive state times urals waste
96,nuclear facility fuel levels russian mayak health high rosatom ruthenium106 spent greenpeace hyatt
97,hour planet discovered scientists support
98,selfharm 2008 emergency girls per room study visits period rates suicide teen
99,among girls percent selfharm suicide mercado poisoning young
100,girls young among eclipse cassinis selfinjury new shows women 20042017 2015 graphic highlights missions motion suicide total 100000 2009 american
101,girls among study 100000 injuries per rates suicide boys emergency researchers rising treated visits
102,rocket hughes launch stakes jump plans science town amboy building enough first things whos
103,kushner security campaign adviser clearance committee documents information related two
104,franken angry didnb now tour written even happened immediately thought told want
105,buzzfeed office process settlement complaint conyers harassment house agreement boehner compliance congress congressional conyersb documents email employee information members paul
106,weeknd hadid
107,sugar industry research documents new health hickson internal association described food group heart studies tobacco 1960s animals cancer funded kearns
108,role analysis design study collection data decision funder manuscript preparation project publish rats serum 259 isrf research srf sugar diet
109,districts district austin falk perstudent school texas per funding agency state student wisnoski 201516 recapture revenue spending tea bond culbertson
110,wine demand parallel ethanol products cucamonga distilleries industry itb john market parker pinot producers rancho water years
111,nuclear plant levels area cloud french likely origin radiation reprocessing russia
112,red eisendrath liz tom bokenkamp quest aware blacklist flash forward half lot married secrets suitcase
113,conyers claims sexual
114,insurance fewer million health cbo jct coverage wouldnb 2025 care individual mandate many medicaid premium premiums senate tax
115,internet net neutrality fcc federal pai authority commission providers rules telecoms
116,rules fcc net neutrality internet pai regulations 2015 chairman isps commission content federal new plan proposed today verizon comments companies
117,25000 2015 paid penalty lowincome million less percent tax agi cornyn fine returns 2014 individual americans insurance irs mandate many
118,change climate education issues republicans americans among scientific consensus democrats issue may relationship whether
119,bendick bilham earthquakes earths earthquake might pattern planet rotation scientists changes clusters correlation earth global likely mechanism record research temblors tried years
120,test iphone new ios
121,signet stores jewelry sales kay quarter lejuez mall market stock
122,italian
123,hospital twins abby delaney erin conjoined girls home heather last month
124,art drawings schiele system
125,hughes rocket flatearth launch earth flat flight mike built
126,hour men now
127,default please quote settings change gray search select setting
128,united haitians states protection temporary protections administration haiti country decision now status children citizens deportation earthquake haitian homeland immigration kelly
129,president roy moore denies heb look women
130,trump meeting torshin campaign attorney dinner last russian source
131,trump moore women allegations sexual alabama misconduct president candidate liberal repeatedly reporters republican roy terrible
132,moore roy thatb allegations powerful republican trump
133,birds house white turkeys ceremony hotel turkey according federation national pardoned past president stayed years
134,uber data hackers million 100000 drivers exposed hack
135,uber company data hack inc breach hackers million security bloomberg chief drivers kalanick last legal uberb year
136,hughes flat launch rocket
137,house kushner white
138,galaxy google pixel samsung
139,order court orders general inspector travel executive issued many travelers trump violated affected ban confusion congress entry implementation law president roth two
140,letter order travel ban court general inspector orders travelers trump agency roth department first process release wrote administration bury early
141,earthquakes bilham many year bendick equator next quakes slower twice
142,putin trump syria president russian meeting political syrian assad joint leaders process russia situation summit
143,rose told roseb dinner interview job cab charlie ended later meeting restaurant telling worked working
144,kids voice tech assistants new privacy use alexa children common group home may media parents relationship sense son
145,loss level opponent panic next 1126 high new chargers playoff still 1123 cowboys games lions mediumhigh now rams remaining schedule
146,harbaugh way football coach college jim search shaving state years 100 actually around good harbaughs head interesting last man ohio
147,morning night versus may owls research toward types age better clock dawn day donb evening future isnb probably sense shows tend
148,suicide teens depression online found less health itb mental risk spent 2012 day depressed enough five likely major sleep social
149,menz franken cnn 2010 told husband kline minnesota around interaction lindsay menzs state taking tweeden away butt fair happened jeremy
150,youtube kids new app content hour policy place inappropriate now peppa
151,youtube echo user experience voice layout
